"","date","btc.price","tx.vol","exch.vol","tot.wallets","tot.unique.addr","output.vol","tx.block","block.size","tot.hashrate"
"1",2014-01-01,746.9,41476,22489400,970765,83356,525007.90212782,381,13488,11740.802089632
"2",2014-01-03,806.21,63821,37810100,981868,125864,963612.87825426,319,13545,11493.6340975684
"3",2014-01-05,896,55761,72898500,993338,106688,847976.26300753,280,13602,12692.3566721614
"4",2014-01-07,867.38,62126,81311700,1007391,121152,866610.19086104,259,13671,13185.9483205232
"5",2014-01-09,809.17,58365,59998600,1021081,114730,594481.55042817,360,13730,12762.8697647845
"6",2014-01-11,891.85,56464,44754200,1032586,110670,438326.06694852,287,13787,14596.2101729856
"7",2014-01-13,807.83,54756,45580900,1044258,110334,506489.6974431,326,13840,18058.6488747028
"8",2014-01-15,847.7,60392,28107200,1056556,115087,717169.64756422,321,13897,15211.9653082472
"9",2014-01-17,793,58397,39031700,1069475,113632,464566.52066186,349,13954,13610.7058021159
"10",2014-01-19,833,49224,24365700,1081937,94782,509881.87175671,346,14004,16368.4305071198
"11",2014-01-21,822.56,71521,18997300,1094815,136930,615535.64463269,322,14072,15300.924169699
"12",2014-01-23,813.02,63527,15607100,1109187,127975,550964.53966759,395,14137,15834.6773384094
"13",2014-01-25,806,55371,24303900,1124732,108098,534461.28935303,380,14197,16903.7992186766
"14",2014-01-27,777,60746,49233600,1136756,145032,789929.91361946,288,14254,17558.1398335931
"15",2014-01-29,803.6,61786,17984400,1151305,124466,482434.92966879,303,14316,17230.9695261348
"16",2014-01-31,802.5,61999,17107900,1163953,132531,455912.56654336,397,14377,20066.4455241064
"17",2014-02-02,819.57,50400,11300900,1175250,112877,455281.81243648,435,14434,19412.1049091899
"18",2014-02-04,809.05,65812,16609700,1187610,140332,678275.46040309,392,14502,18430.5939868151
"19",2014-02-06,778,69721,50108700,1200142,142991,853640.94602218,376,14577,21761.8906024157
"20",2014-02-08,707,64069,38742600,1212010,131014,602439.98447918,371,14650,22804.3763797769
"21",2014-02-10,665,67622,112758000,1224187,155591,640746.22963622,356,14712,19937.5404920335
"22",2014-02-12,667.01,62805,25367600,1235899,121999,655177.74973394,344,14784,21761.8906024157
"23",2014-02-14,672.1,76660,102506000,1246606,148377,788230.06913419,347,14866,24889.3479344994
